Project Name,Package Name,Type Name,Method Name,Code Smell
xerces2-j,(default package),DesignDoc,main,Magic Number
xerces2-j,(default package),DesignDoc,printMethodComment,Complex Method
xerces2-j,(default package),DesignDoc,printMethod,Complex Method
xerces2-j,(default package),DesignDoc,collectImports,Complex Method
xerces2-j,(default package),DesignDoc,makeFilename,Magic Number
xerces2-j,(default package),DesignDoc,printType,Complex Conditional
xerces2-j,(default package),DesignDoc,printType,Complex Method
xerces2-j,(default package),Stylesheet,main,Magic Number
xerces2-j,dom,ASBuilder,main,Complex Method
xerces2-j,dom,ASBuilder,main,Long Identifier
xerces2-j,dom,ASBuilder,main,Magic Number
xerces2-j,dom,Counter,count,Complex Method
xerces2-j,dom,Counter,printResults,Long Parameter List
xerces2-j,dom,Counter,main,Complex Method
xerces2-j,dom,Counter,main,Empty catch clause
xerces2-j,dom,Counter,main,Long Identifier
xerces2-j,dom,Counter,main,Long Method
xerces2-j,dom,DOMAddLines,print,Complex Method
xerces2-j,dom,DOMAddLines,ignorableWhitespace,Long Identifier
xerces2-j,dom,DOMAddLines,main,Long Identifier
xerces2-j,dom,GetElementsByTagName,normalize,Complex Method
xerces2-j,dom,GetElementsByTagName,normalize,Missing default
xerces2-j,dom,GetElementsByTagName,main,Complex Method
xerces2-j,dom,GetElementsByTagName,main,Empty catch clause
xerces2-j,dom,GetElementsByTagName,main,Long Identifier
xerces2-j,dom,GetElementsByTagName,main,Long Method
xerces2-j,dom,Writer,write,Complex Method
xerces2-j,dom,Writer,write,Long Method
xerces2-j,dom,Writer,normalizeAndPrint,Complex Method
xerces2-j,dom,Writer,normalizeAndPrint,Missing default
xerces2-j,dom,Writer,main,Complex Method
xerces2-j,dom,Writer,main,Empty catch clause
xerces2-j,dom,Writer,main,Long Identifier
xerces2-j,dom,Writer,main,Long Method
xerces2-j,dom,DTest,docBuilder,Long Statement
xerces2-j,dom,DTest,DOMExceptionsTest,Long Parameter List
xerces2-j,dom,DTest,findTestNodes,Complex Method
xerces2-j,dom,DTest,findTestNodes,Magic Number
xerces2-j,dom,DTest,findTestNodes,Missing default
xerces2-j,dom,DTest,findTestNodes,Complex Method
xerces2-j,dom,DTest,findTestNodes,Missing default
xerces2-j,dom,DTest,testAttr,Complex Conditional
xerces2-j,dom,DTest,testAttr,Complex Method
xerces2-j,dom,DTest,testAttr,Long Statement
xerces2-j,dom,DTest,testCDATASection,Complex Conditional
xerces2-j,dom,DTest,testCDATASection,Long Statement
xerces2-j,dom,DTest,testCDATASection,Long Statement
xerces2-j,dom,DTest,testCharacterData,Complex Method
xerces2-j,dom,DTest,testCharacterData,Long Statement
xerces2-j,dom,DTest,testCharacterData,Magic Number
xerces2-j,dom,DTest,testCharacterData,Magic Number
xerces2-j,dom,DTest,testCharacterData,Magic Number
xerces2-j,dom,DTest,testCharacterData,Magic Number
xerces2-j,dom,DTest,testCharacterData,Magic Number
xerces2-j,dom,DTest,testCharacterData,Magic Number
xerces2-j,dom,DTest,testCharacterData,Magic Number
xerces2-j,dom,DTest,testCharacterData,Magic Number
xerces2-j,dom,DTest,testCharacterData,Magic Number
xerces2-j,dom,DTest,testChildNodeList,Long Statement
xerces2-j,dom,DTest,testChildNodeList,Magic Number
xerces2-j,dom,DTest,testChildNodeList,Magic Number
xerces2-j,dom,DTest,testComment,Complex Conditional
xerces2-j,dom,DTest,testComment,Long Statement
xerces2-j,dom,DTest,testComment,Long Statement
xerces2-j,dom,DTest,testDeepNodeList,Long Statement
xerces2-j,dom,DTest,testDeepNodeList,Magic Number
xerces2-j,dom,DTest,testDeepNodeList,Magic Number
xerces2-j,dom,DTest,testDocument,Complex Conditional
xerces2-j,dom,DTest,testDocument,Complex Conditional
xerces2-j,dom,DTest,testDocument,Complex Method
xerces2-j,dom,DTest,testDocument,Long Statement
xerces2-j,dom,DTest,testDocument,Long Statement
xerces2-j,dom,DTest,testDocument,Long Statement
xerces2-j,dom,DTest,testDocument,Magic Number
xerces2-j,dom,DTest,testDocument,Magic Number
xerces2-j,dom,DTest,testDocument,Magic Number
xerces2-j,dom,DTest,testDocumentFragment,Long Statement
xerces2-j,dom,DTest,testDocumentType,Complex Conditional
xerces2-j,dom,DTest,testDocumentType,Long Statement
xerces2-j,dom,DTest,testDocumentType,Long Statement
xerces2-j,dom,DTest,testDOMImplementation,Long Statement
xerces2-j,dom,DTest,testElement,Complex Conditional
xerces2-j,dom,DTest,testElement,Complex Method
xerces2-j,dom,DTest,testElement,Long Statement
xerces2-j,dom,DTest,testElement,Long Statement
xerces2-j,dom,DTest,testElement,Long Statement
xerces2-j,dom,DTest,testElement,Long Statement
xerces2-j,dom,DTest,testElement,Long Statement
xerces2-j,dom,DTest,testElement,Long Statement
xerces2-j,dom,DTest,testEntity,Complex Conditional
xerces2-j,dom,DTest,testEntity,Long Statement
xerces2-j,dom,DTest,testEntityReference,Complex Conditional
xerces2-j,dom,DTest,testEntityReference,Long Statement
xerces2-j,dom,DTest,testEntityReference,Long Statement
xerces2-j,dom,DTest,testNotation,Complex Conditional
xerces2-j,dom,DTest,testNotation,Long Statement
xerces2-j,dom,DTest,testPI,Complex Conditional
xerces2-j,dom,DTest,testPI,Long Statement
xerces2-j,dom,DTest,testText,Complex Conditional
xerces2-j,dom,DTest,testText,Long Statement
xerces2-j,dom,DTest,testText,Magic Number
xerces2-j,dom,DTest,treeCompare,Complex Conditional
xerces2-j,dom,DTest,treeCompare,Complex Method
xerces2-j,dom,DTest,treeCompare,Long Statement
xerces2-j,dom.traversal,IteratorView,main,Magic Number
xerces2-j,dom.traversal,IteratorView,main,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Long Method
xerces2-j,dom.traversal,IteratorView,IteratorView,Long Statement
xerces2-j,dom.traversal,IteratorView,IteratorView,Long Statement
xerces2-j,dom.traversal,IteratorView,IteratorView,Long Statement
xerces2-j,dom.traversal,IteratorView,IteratorView,Long Statement
xerces2-j,dom.traversal,IteratorView,IteratorView,Long Statement
xerces2-j,dom.traversal,IteratorView,IteratorView,Long Statement
xerces2-j,dom.traversal,IteratorView,IteratorView,Long Statement
xerces2-j,dom.traversal,IteratorView,IteratorView,Long Statement
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
xerces2-j,dom.traversal,IteratorView,IteratorView,Magic Number
